iter	RMSE
0	6152.981865
1	6006.168993
2	5863.373317
3	5726.583044
4	5595.083355
5	5467.954853
6	5344.599399
7	5224.37959
8	5109.406963
9	4997.539995
10	4889.524942
11	4785.185338
12	4686.257645
13	4590.286933
14	4497.68439
15	4409.192613
16	4323.630033
17	4238.520896
18	4156.983674
19	4079.384946
20	4003.834108
21	3931.222947
22	3860.325462
23	3791.873723
24	3727.17771
25	3664.126706
26	3603.852827
27	3546.657317
28	3489.699968
29	3435.28759
30	3383.072867
31	3334.776102
32	3286.904742
33	3241.808698
34	3198.497473
35	3155.746811
36	3113.449472
37	3074.335766
38	3036.026097
39	2999.79556
40	2964.931371
41	2930.896548
42	2897.840041
43	2867.134919
44	2838.547588
45	2810.072197
46	2781.997232
47	2756.317042
48	2730.783844
49	2705.837545
50	2682.724244
51	2657.920904
52	2635.718381
53	2615.049569
54	2595.503857
55	2576.903192
56	2556.326966
57	2538.029934
58	2520.458501
59	2502.205454
60	2486.01805
61	2469.381729
62	2452.960592
63	2438.728249
64	2422.61716
65	2408.780311
66	2395.138725
67	2383.327586
68	2369.367463
69	2357.236519
70	2345.645082
71	2334.774703
72	2322.816681
73	2311.845703
74	2301.591953
75	2291.983878
76	2282.399445
77	2273.316307
78	2263.590885
79	2254.645993
80	2245.915843
81	2237.239278
82	2229.58809
83	2222.074029
84	2214.549302
85	2207.297326
86	2200.807232
87	2194.080618
88	2188.31858
89	2181.864052
90	2176.362241
91	2170.862296
92	2165.353958
93	2159.989837
94	2155.305949
95	2150.243812
96	2144.970485
97	2139.654124
98	2135.411356
99	2131.307075
100	2127.505402
101	2123.630195
102	2119.9551
103	2115.984525
104	2111.835233
105	2108.2093
106	2104.959689
107	2101.590484
108	2097.654349
109	2093.879978
110	2090.214862
111	2086.986741
112	2083.864976
113	2080.348753
114	2077.22854
115	2074.588663
116	2071.739818
117	2068.815965
118	2066.453985
119	2063.723905
120	2061.171974
121	2058.748139
122	2056.342418
123	2053.989697
124	2051.718256
125	2049.447057
126	2046.837284
127	2044.459933
128	2042.408731
129	2040.648286
130	2038.634267
131	2036.699364
132	2034.821865
133	2032.957364
134	2030.796642
135	2029.006857
136	2027.186214
137	2025.688117
138	2023.829596
139	2022.447297
140	2020.779496
141	2019.18164
142	2017.504486
143	2015.723393
144	2014.0965
145	2012.617412
146	2011.13692
147	2009.693839
148	2007.924187
149	2006.70018
150	2005.181727
151	2003.789437
152	2002.227884
153	2000.886801
154	1999.255267
155	1997.948571
156	1996.393271
157	1995.156452
158	1993.836677
159	1992.713392
160	1991.181859
161	1990.117325
162	1988.807426
163	1987.965939
164	1986.962025
165	1985.887102
166	1984.623352
