iter	Passed	Remaining
0	109	54533
1	211	52608
2	286	47430
3	372	46172
4	457	45324
5	553	45603
6	649	45764
7	746	45918
8	829	45247
9	925	45362
10	1031	45861
11	1144	46562
12	1230	46085
13	1344	46681
14	1425	46096
15	1523	46076
16	1621	46066
17	1721	46102
18	1811	45862
19	1894	45458
20	1974	45034
21	2068	44951
22	2161	44826
23	2236	44348
24	2323	44142
25	2413	43994
26	2501	43831
27	2581	43524
28	2694	43762
29	2797	43821
30	2882	43614
31	2987	43697
32	3089	43714
33	3190	43732
34	3326	44200
35	3437	44311
36	3531	44185
37	3627	44100
38	3727	44064
39	3832	44070
40	3936	44069
41	4039	44045
42	4178	44407
43	4316	44732
44	4459	45091
45	4605	45449
46	4733	45622
47	4865	45816
48	4985	45888
49	5117	46060
50	5220	45964
51	5355	46137
52	5458	46032
53	5586	46139
54	5727	46344
55	5868	46529
56	5987	46533
57	6157	46924
58	6297	47069
59	6437	47208
60	6541	47079
61	6674	47153
62	6804	47197
63	6894	46967
64	7011	46923
65	7109	46752
66	7202	46546
67	7312	46456
68	7420	46351
69	7559	46435
70	7662	46299
71	7760	46130
72	7866	46013
73	7976	45918
74	8092	45857
75	8203	45764
76	8315	45682
77	8439	45659
78	8547	45552
79	8648	45405
80	8745	45239
81	8822	44972
82	8938	44906
83	9027	44708
84	9114	44499
85	9243	44497
86	9343	44352
87	9418	44094
88	9513	43934
89	9604	43755
90	9713	43655
91	9806	43491
92	9890	43286
93	9979	43105
94	10072	42941
95	10161	42764
96	10277	42699
97	10420	42744
98	10503	42544
99	10572	42291
100	10661	42119
101	10755	41966
102	10852	41830
103	10958	41727
104	11041	41536
105	11125	41352
106	11224	41226
107	11307	41041
108	11399	40892
109	11510	40809
110	11604	40667
111	11686	40483
112	11765	40292
113	11843	40102
114	11944	39987
115	12032	39832
116	12123	39687
117	12203	39507
118	12291	39353
119	12381	39209
120	12475	39075
121	12569	38945
122	12669	38831
123	12763	38701
124	12844	38532
125	12921	38353
126	13022	38246
127	13126	38150
128	13255	38121
129	13360	38026
130	13467	37935
131	13560	37804
132	13669	37718
133	13761	37586
134	13867	37494
135	13989	37441
136	14074	37292
137	14182	37203
138	14289	37112
139	14384	36988
140	14481	36871
141	14574	36744
142	14670	36624
143	14784	36550
144	14891	36459
145	15016	36410
146	15119	36306
147	15222	36205
148	15318	36084
149	15428	36000
150	15547	35933
151	15673	35885
152	15783	35796
153	15893	35709
154	16005	35625
155	16142	35596
156	16277	35562
157	16397	35492
158	16502	35392
159	16614	35305
160	16714	35193
161	16832	35119
162	16924	34990
163	17019	34869
164	17124	34766
165	17232	34672
166	17344	34584
167	17443	34470
168	17538	34351
169	17641	34245
170	17735	34122
171	17823	33989
172	17922	33876
173	18048	33815
174	18157	33720
175	18318	33723
176	18441	33653
177	18547	33553
178	18642	33431
179	18747	33328
180	18838	33201
181	18930	33076
182	19022	32951
183	19108	32817
184	19210	32710
185	19319	32614
186	19426	32516
187	19522	32399
188	19620	32286
189	19717	32170
190	19819	32064
191	19936	31981
192	20044	31884
193	20159	31798
194	20260	31689
195	20360	31579
196	20458	31467
197	20579	31389
198	20720	31341
199	20841	31262
200	20944	31156
201	21051	31055
202	21144	30936
203	21260	30848
204	21346	30717
205	21448	30611
206	21540	30489
207	21638	30377
208	21735	30263
209	21842	30163
210	21942	30054
211	22045	29948
212	22149	29845
213	22250	29736
214	22351	29628
215	22445	29512
216	22536	29391
217	22643	29291
218	22742	29181
219	22844	29075
220	22954	28978
221	23065	28884
222	23160	28768
223	23242	28638
224	23347	28536
225	23453	28434
226	23562	28337
227	23671	28239
228	23770	28130
229	23857	28006
230	23957	27898
231	24055	27787
232	24153	27678
233	24232	27546
234	24310	27414
235	24407	27302
236	24512	27201
237	24617	27099
238	24721	26997
239	24825	26894
240	24914	26775
241	25006	26659
242	25099	26545
243	25197	26437
244	25285	26318
245	25388	26214
246	25495	26114
247	25587	26000
248	25692	25898
249	25793	25793
250	25897	25691
251	25990	25577
252	26074	25456
253	26189	25364
254	26292	25261
255	26389	25152
256	26472	25029
257	26580	24932
258	26681	24827
259	26789	24728
260	26891	24624
261	26989	24516
262	27097	24418
263	27203	24318
264	27307	24215
265	27406	24109
266	27503	24001
267	27617	23907
268	27713	23799
269	27822	23700
270	27927	23599
271	28028	23494
272	28128	23389
273	28227	23282
274	28349	23195
275	28459	23097
276	28556	22989
277	28654	22882
278	28756	22778
279	28869	22682
280	28973	22580
281	29091	22488
282	29202	22392
283	29294	22280
284	29382	22165
285	29496	22071
286	29584	21956
287	29681	21848
288	29774	21738
289	29864	21626
290	29972	21526
291	30051	21406
292	30168	21313
293	30272	21211
294	30363	21100
295	30468	20998
296	30565	20891
297	30667	20788
298	30777	20690
299	30868	20578
300	30968	20474
301	31066	20367
302	31158	20258
303	31255	20151
304	31348	20042
305	31460	19945
306	31563	19842
307	31659	19735
308	31749	19625
309	31842	19516
310	31942	19411
311	32039	19306
312	32141	19202
313	32246	19101
314	32345	18996
315	32442	18890
316	32544	18787
317	32655	18689
318	32748	18581
319	32845	18475
320	32948	18373
321	33031	18259
322	33132	18156
323	33220	18045
324	33319	17941
325	33425	17840
326	33526	17737
327	33633	17637
328	33739	17536
329	33841	17433
330	33964	17341
331	34095	17253
332	34211	17156
333	34338	17066
334	34461	16973
335	34584	16880
336	34700	16783
337	34819	16688
338	34940	16594
339	35057	16497
340	35173	16400
341	35296	16306
342	35424	16214
343	35562	16127
344	35682	16031
345	35783	15926
346	35892	15825
347	35992	15720
348	36091	15615
349	36196	15512
350	36304	15411
351	36402	15305
352	36506	15202
353	36620	15103
354	36727	15001
355	36829	14897
356	36936	14795
357	37033	14689
358	37142	14588
359	37248	14485
360	37349	14381
361	37461	14281
362	37569	14179
363	37673	14075
364	37778	13972
365	37872	13865
366	37974	13761
367	38074	13657
368	38165	13549
369	38270	13446
370	38365	13340
371	38474	13238
