iter	RMSE
0	4030.169816
1	3656.985029
2	3359.423863
3	3109.483547
4	2907.883863
5	2753.104628
6	2630.141819
7	2522.209703
8	2433.280878
9	2361.839164
10	2297.468299
11	2244.48261
12	2205.737982
13	2173.58529
14	2148.947021
15	2125.407333
16	2103.898914
17	2086.786004
18	2069.013004
19	2056.30861
20	2044.316015
21	2030.03656
22	2020.247556
23	2011.097126
24	2003.953653
25	1997.568384
26	1991.650268
27	1986.631824
28	1982.245701
29	1976.056841
30	1970.758696
31	1963.462664
32	1957.930026
33	1952.986369
34	1948.285813
35	1943.625191
36	1939.279461
37	1935.483781
38	1931.358479
39	1928.704182
40	1925.186211
41	1922.410092
42	1917.892658
43	1913.646164
44	1911.062135
45	1907.303392
46	1902.999204
47	1899.903308
48	1896.108572
49	1893.466088
50	1891.722574
51	1887.814695
52	1885.81695
53	1884.48179
54	1881.588142
55	1880.081427
56	1878.305308
57	1875.762406
58	1873.513174
59	1872.467271
60	1870.457227
61	1868.513766
62	1866.656751
63	1864.30931
64	1860.529648
65	1858.777691
66	1857.059179
67	1855.205847
68	1853.890802
69	1851.288522
70	1849.333589
71	1847.437787
72	1845.613116
73	1844.438791
74	1843.292657
75	1842.255764
76	1841.085983
77	1840.00508
78	1838.178535
79	1836.972621
80	1835.534842
81	1834.63559
82	1833.226666
83	1832.162264
84	1830.919718
85	1829.59621
86	1828.01949
87	1826.493026
88	1825.656499
89	1824.238365
90	1823.330228
91	1822.195943
92	1820.42326
93	1819.474141
94	1818.215024
95	1816.889798
96	1815.478435
97	1814.416798
98	1813.583758
99	1812.950455
100	1811.292782
101	1810.400545
102	1809.136772
103	1808.369255
104	1807.193152
105	1806.120769
106	1804.634587
107	1803.962349
108	1802.930799
109	1802.555359
110	1801.084145
111	1800.166184
112	1799.02296
113	1798.052283
114	1797.477866
115	1796.697048
116	1795.721007
117	1794.909832
118	1794.371773
119	1793.582109
120	1793.08708
121	1792.418781
122	1792.263119
123	1791.236703
124	1790.662771
125	1789.66081
126	1788.56958
127	1788.260179
128	1787.552384
129	1786.72319
130	1785.545591
131	1784.684411
132	1784.044288
133	1783.343725
134	1782.053562
135	1781.292049
136	1780.612005
137	1780.303418
138	1779.20899
139	1778.686605
140	1778.006335
141	1776.956231
142	1776.186586
143	1775.881462
144	1775.616179
145	1774.995195
146	1774.597708
147	1773.932683
148	1773.026949
149	1772.429122
150	1771.674691
151	1771.25915
152	1770.725646
153	1769.958656
154	1769.395968
155	1768.996243
156	1768.246116
157	1767.678449
158	1767.378323
159	1767.228671
160	1766.588724
161	1765.904508
162	1765.559707
163	1764.934686
164	1764.556264
165	1763.736226
166	1763.603249
167	1763.388376
168	1762.628991
169	1761.967505
170	1761.92876
171	1761.530198
172	1760.932193
173	1760.314495
174	1759.855488
175	1759.221318
176	1758.808452
177	1758.467573
178	1758.049944
179	1757.251623
180	1756.934763
181	1756.849422
182	1756.188557
183	1755.669099
184	1755.248381
185	1754.613326
186	1754.288933
187	1754.117399
188	1753.604272
189	1753.075071
190	1752.777824
191	1752.617086
192	1752.238392
193	1751.481685
194	1751.218131
195	1750.571995
196	1750.173424
197	1749.791289
198	1749.255133
199	1748.847644
200	1748.464671
201	1747.99376
202	1747.534021
203	1746.43135
204	1746.160476
205	1745.735719
206	1745.324894
207	1744.97024
208	1744.056732
209	1743.653507
210	1743.298017
211	1742.71665
212	1742.51549
213	1742.070875
214	1741.510642
215	1741.099608
216	1740.328201
217	1739.829835
218	1739.04077
219	1738.804303
220	1738.572482
221	1738.243492
222	1737.903837
223	1737.242239
224	1736.761913
225	1736.545943
226	1736.01613
227	1735.176226
228	1734.394069
229	1733.566423
230	1733.407165
231	1733.192847
232	1732.626533
233	1732.091323
234	1731.860085
235	1731.54995
236	1731.152048
237	1730.866184
238	1730.655778
239	1730.164645
240	1729.789964
241	1729.65912
242	1729.352183
243	1728.656912
244	1727.991895
245	1727.358871
246	1727.057923
247	1726.79168
248	1726.500454
249	1725.88631
250	1725.447696
251	1725.05054
252	1724.674102
253	1724.525537
254	1724.180562
255	1723.593412
256	1723.411518
257	1723.093765
258	1722.79203
259	1722.501723
260	1722.165544
261	1721.731922
262	1721.685939
263	1721.413055
264	1721.178367
265	1720.905487
266	1720.802202
267	1720.669489
268	1720.665253
269	1720.194198
270	1719.58097
271	1719.228057
272	1718.999351
273	1718.870548
274	1718.355014
275	1717.796673
276	1717.260098
