iter	Passed	Remaining
0	134	67053
1	261	65031
2	401	66475
3	531	65891
4	650	64367
5	770	63435
6	881	62050
7	1005	61838
8	1142	62345
9	1291	63268
10	1431	63624
11	1557	63342
12	1681	62974
13	1803	62611
14	1923	62191
15	2052	62095
16	2183	62035
17	2296	61491
18	2441	61811
19	2571	61717
20	2706	61733
21	2824	61368
22	2950	61193
23	3046	60431
24	3187	60555
25	3316	60458
26	3436	60205
27	3579	60348
28	3695	60021
29	3829	59995
30	3962	59950
31	4071	59549
32	4205	59511
33	4324	59267
34	4433	58908
35	4535	58463
36	4638	58048
37	4770	57999
38	4888	57783
39	5013	57657
40	5160	57770
41	5268	57448
42	5384	57229
43	5501	57018
44	5632	56954
45	5746	56711
46	5870	56584
47	6015	56644
48	6150	56607
49	6279	56514
50	6412	56454
51	6545	56388
52	6653	56116
53	6762	55856
54	6899	55819
55	7027	55717
56	7160	55652
57	7283	55506
58	7417	55439
59	7537	55277
60	7661	55140
61	7779	54956
62	7911	54880
63	8052	54860
64	8160	54613
65	8289	54510
66	8418	54409
67	8549	54313
68	8671	54166
69	8789	53995
70	8911	53845
71	9043	53760
72	9176	53677
73	9294	53508
74	9424	53407
75	9558	53323
76	9699	53283
77	9837	53222
78	9958	53069
79	10048	52756
80	10147	52493
81	10277	52390
82	10414	52322
83	10538	52192
84	10650	51997
85	10770	51846
86	10877	51636
87	10990	51457
88	11106	51291
89	11217	51102
90	11336	50951
91	11446	50764
92	11563	50606
93	11686	50477
94	11795	50286
95	11895	50061
96	12017	49929
97	12143	49813
98	12261	49663
99	12365	49460
100	12493	49357
101	12596	49150
102	12717	49018
103	12830	48855
104	12957	48743
105	13070	48581
106	13177	48401
107	13292	48248
108	13415	48122
109	13535	47989
110	13656	47860
111	13780	47738
112	13897	47594
113	14022	47478
114	14134	47321
115	14248	47168
116	14369	47037
117	14493	46920
118	14613	46786
119	14720	46615
120	14832	46460
121	14961	46356
122	15062	46165
123	15173	46008
124	15303	45911
125	15411	45744
126	15518	45578
127	15636	45444
128	15740	45269
129	15858	45134
130	15969	44982
131	16090	44857
132	16226	44775
133	16341	44633
134	16460	44504
135	16589	44401
136	16701	44251
137	16807	44088
138	16923	43953
139	17051	43847
140	17179	43741
141	17304	43626
142	17428	43510
143	17539	43362
144	17674	43270
145	17788	43131
146	17891	42964
147	18019	42857
148	18144	42742
149	18266	42621
150	18387	42499
151	18507	42372
152	18630	42253
153	18748	42122
154	18874	42011
155	18999	41895
156	19113	41757
157	19226	41617
158	19335	41468
159	19441	41313
160	19542	41149
161	19643	40985
162	19765	40864
163	19873	40715
164	20004	40614
165	20123	40489
166	20231	40342
167	20330	40177
168	20450	40053
169	20567	39925
170	20678	39784
171	20798	39662
172	20909	39522
173	21034	39409
174	21156	39291
175	21287	39188
176	21418	39085
177	21537	38961
178	21682	38884
179	21787	38732
180	21917	38628
181	22024	38481
182	22138	38348
183	22257	38224
184	22393	38129
185	22527	38029
186	22668	37942
187	22810	37856
188	22949	37763
189	23088	37670
190	23239	37597
191	23367	37485
192	23474	37340
193	23588	37206
194	23690	37055
195	23799	36913
196	23954	36844
197	24069	36712
198	24189	36588
199	24319	36478
200	24482	36419
201	24575	36255
202	24701	36139
203	24836	36037
204	24971	35934
205	25097	35819
206	25237	35722
207	25389	35642
208	25522	35536
209	25642	35411
210	25769	35295
211	25924	35218
212	26071	35128
213	26202	35017
214	26336	34910
215	26468	34800
216	26605	34697
217	26724	34569
218	26858	34462
219	26992	34353
220	27113	34228
221	27254	34129
222	27390	34023
223	27517	33905
224	27655	33801
225	27785	33686
226	27946	33609
227	28097	33519
228	28233	33411
229	28377	33312
230	28551	33248
231	28704	33158
232	28854	33065
233	28995	32961
234	29124	32842
235	29234	32702
236	29372	32594
237	29495	32470
238	29619	32346
239	29730	32208
240	29851	32081
241	29989	31972
242	30145	31882
243	30287	31776
244	30423	31665
245	30549	31542
246	30682	31427
247	30808	31305
248	30928	31177
249	31053	31053
250	31196	30948
251	31337	30840
252	31474	30728
253	31634	30638
254	31760	30514
255	31886	30392
256	32007	30264
257	32146	30153
258	32260	30018
259	32419	29925
260	32545	29802
261	32684	29690
262	32799	29556
263	32916	29425
264	33039	29299
265	33169	29179
266	33300	29059
267	33428	28938
268	33555	28815
269	33674	28685
270	33799	28561
271	33931	28442
272	34066	28326
273	34188	28199
274	34320	28080
275	34454	27963
276	34588	27845
277	34730	27734
278	34867	27619
279	34992	27494
280	35111	27364
281	35227	27232
282	35358	27112
283	35510	27007
284	35630	26879
285	35754	26753
286	35887	26634
287	36017	26512
288	36150	26393
289	36283	26274
290	36400	26143
291	36536	26025
292	36650	25893
293	36775	25767
294	36912	25651
295	37041	25528
296	37161	25399
297	37283	25272
298	37406	25145
299	37535	25023
300	37666	24902
301	37804	24785
302	37943	24669
303	38084	24554
304	38221	24436
305	38335	24304
306	38444	24168
307	38578	24048
308	38713	23929
309	38841	23806
310	38982	23690
311	39130	23578
312	39251	23450
313	39375	23324
314	39503	23200
315	39614	23066
316	39739	22941
317	39867	22817
318	40005	22699
319	40156	22588
320	40282	22463
321	40396	22330
322	40540	22215
323	40665	22089
324	40778	21957
325	40923	21842
326	41052	21718
327	41167	21587
328	41300	21466
329	41440	21348
330	41559	21219
331	41703	21103
332	41814	20970
333	41928	20838
334	42056	20714
335	42183	20589
336	42315	20466
337	42442	20342
338	42565	20215
339	42693	20091
340	42819	19965
341	42975	19854
342	43115	19735
343	43267	19621
344	43388	19493
345	43531	19375
346	43649	19245
347	43726	19098
348	43856	18975
349	43984	18850
350	44110	18724
351	44224	18594
352	44330	18460
353	44463	18338
354	44580	18208
355	44704	18082
356	44835	17959
357	44958	17832
358	45087	17708
359	45196	17576
360	45308	17445
361	45456	17328
362	45581	17202
363	45692	17072
364	45834	16952
365	45968	16829
366	46091	16703
367	46222	16579
368	46343	16452
369	46466	16326
370	46593	16200
371	46699	16068
372	46842	15948
373	46957	15820
374	47087	15695
375	47232	15576
376	47381	15458
377	47502	15331
378	47626	15205
379	47767	15084
380	47915	14965
381	48029	14836
382	48133	14703
383	48259	14578
384	48419	14463
385	48562	14342
386	48675	14212
387	48815	14090
388	48931	13962
389	49081	13843
390	49244	13728
391	49413	13613
392	49590	13501
